index,source,student_psnr_db,student_ssim,student_mae_normalized,bicubic_psnr_db,bicubic_ssim,bicubic_mae_normalized
1,/root/autodl-tmp/data/REDS/val_sharp/000/00000000.png,25.889369,0.702929,0.03168906,25.787496,0.699348,0.03187057
2,/root/autodl-tmp/data/REDS/val_sharp/000/00000001.png,25.903424,0.704692,0.03157099,25.801760,0.700979,0.03175458
3,/root/autodl-tmp/data/REDS/val_sharp/000/00000002.png,25.921654,0.702013,0.03159953,25.818485,0.698340,0.03178358
4,/root/autodl-tmp/data/REDS/val_sharp/000/00000003.png,25.911669,0.695875,0.03172968,25.813786,0.692314,0.03190351
5,/root/autodl-tmp/data/REDS/val_sharp/000/00000004.png,26.052330,0.694236,0.03127209,25.951737,0.690464,0.03144885
6,/root/autodl-tmp/data/REDS/val_sharp/000/00000005.png,26.008019,0.682661,0.03149197,25.905905,0.678688,0.03167418
7,/root/autodl-tmp/data/REDS/val_sharp/000/00000006.png,26.312056,0.694795,0.03022967,26.206092,0.690856,0.03041530
8,/root/autodl-tmp/data/REDS/val_sharp/000/00000007.png,26.025598,0.691485,0.03115401,25.927093,0.687716,0.03133011
9,/root/autodl-tmp/data/REDS/val_sharp/000/00000008.png,25.969319,0.696013,0.03120076,25.866329,0.692065,0.03139660
10,/root/autodl-tmp/data/REDS/val_sharp/000/00000009.png,25.881838,0.700136,0.03155605,25.774593,0.696145,0.03176196
11,/root/autodl-tmp/data/REDS/val_sharp/000/00000010.png,25.636707,0.696771,0.03245184,25.533979,0.692768,0.03264390
12,/root/autodl-tmp/data/REDS/val_sharp/000/00000011.png,25.694429,0.695233,0.03233701,25.589809,0.691114,0.03253828
13,/root/autodl-tmp/data/REDS/val_sharp/000/00000012.png,25.742681,0.690956,0.03222097,25.640834,0.686614,0.03242998
14,/root/autodl-tmp/data/REDS/val_sharp/000/00000013.png,25.696646,0.688451,0.03241559,25.595982,0.684095,0.03262443
15,/root/autodl-tmp/data/REDS/val_sharp/000/00000014.png,25.631394,0.692115,0.03256023,25.525107,0.687823,0.03277297
16,/root/autodl-tmp/data/REDS/val_sharp/000/00000015.png,25.576539,0.692107,0.03262610,25.474006,0.687734,0.03283624
17,/root/autodl-tmp/data/REDS/val_sharp/000/00000016.png,25.605341,0.692919,0.03248676,25.507206,0.688686,0.03269576
