epoch,step,loss,distill_loss,hr_loss,edge_loss,temporal_loss,teacher_psnr,student_psnr,seconds,steps_per_second
1,1,0.05310741,0.02269425,0.03985116,0.12099194,0.03025614,24.799938,23.216691,1.349,0.7416
1,2,0.05301394,0.02247656,0.03886672,0.12001365,0.03379745,26.322742,24.130367,1.397,1.4315
1,3,0.04918931,0.02001305,0.03872801,0.10564575,0.02802308,25.047992,23.560232,1.447,2.0739
1,4,0.05052285,0.02012090,0.04054994,0.10595681,0.02875424,24.753773,23.511815,1.496,2.6744
1,5,0.05870578,0.02324598,0.04737110,0.12154192,0.03359209,23.360947,22.241993,1.543,3.2412
1,6,0.05131274,0.02195049,0.03789434,0.11715795,0.03090661,26.376384,24.372970,1.588,3.7777
1,7,0.06114188,0.02460638,0.04878820,0.12946159,0.03438396,24.319438,22.895722,1.636,4.2774
1,8,0.06800663,0.02643115,0.05658223,0.13793196,0.03639783,22.429211,21.313100,1.688,4.7407
1,9,0.05140239,0.02116179,0.04019749,0.11415987,0.02810527,25.774800,23.777055,1.741,5.1707
1,10,0.05058773,0.01971950,0.04063044,0.10561700,0.03034398,25.804343,23.925707,1.798,5.5623
1,11,0.06099587,0.02459140,0.05040009,0.12965816,0.02881170,23.660774,22.253489,1.853,5.9355
1,12,0.04107521,0.01553928,0.03593979,0.08142749,0.01874097,25.881176,24.732393,1.911,6.2800
1,13,0.04548845,0.01560515,0.04168138,0.08029896,0.02369039,25.103207,24.209965,1.966,6.6133
1,14,0.05131371,0.01861077,0.04527147,0.09692815,0.02653801,24.466112,23.491595,2.180,6.4227
1,15,0.04449320,0.01555205,0.04114514,0.08029805,0.02050900,25.751793,24.704108,2.242,6.6912
1,16,0.05030757,0.01843436,0.04389421,0.09685905,0.02627725,24.342594,23.285370,2.299,6.9581
1,17,0.04762814,0.01846560,0.03960999,0.09676121,0.02565278,26.037368,24.552174,2.353,7.2238
1,18,0.03879254,0.01516331,0.03107720,0.08065367,0.02346343,27.791030,26.304075,2.549,7.0609
1,19,0.03776821,0.01405209,0.03194227,0.07558939,0.02115511,27.971296,26.214917,2.618,7.2567
1,20,0.04576247,0.01751553,0.03792687,0.09324673,0.02575336,26.113622,24.647022,2.666,7.5014
1,21,0.04249480,0.01705467,0.03371757,0.08958125,0.02475557,26.923254,25.328918,2.721,7.7178
1,22,0.06622783,0.02647790,0.05367614,0.13743238,0.03620837,23.229268,22.114300,2.930,7.5093
1,23,0.04501706,0.01856937,0.03506187,0.09672115,0.02589055,27.232366,25.332142,3.003,7.6581
1,24,0.05369142,0.02140130,0.04287416,0.11170771,0.03141772,25.144079,23.671069,3.049,7.8704
1,25,0.05686766,0.02321778,0.04537727,0.12241165,0.03022077,24.712760,23.207847,3.102,8.0580
